x,y,theta,kappa
6.5709,43.177,1.4948,0.00087357
6.5785,43.276,1.4949,0.00087059
6.586,43.375,1.495,0.00086763
6.5935,43.474,1.4951,0.00086468
6.601,43.573,1.4952,0.00086175
6.6085,43.672,1.4953,0.00085884
6.616,43.771,1.4954,0.00085594
6.6235,43.87,1.4955,0.00085306
6.631,43.97,1.4955,0.0008502
6.6384,44.069,1.4956,0.00084735
6.6459,44.168,1.4957,0.00084451
6.6533,44.267,1.4958,0.0008417
6.6608,44.366,1.4959,0.0008389
6.6682,44.465,1.496,0.00083611
6.6756,44.564,1.496,0.00083334
6.683,44.663,1.4961,0.00083058
6.6904,44.762,1.4962,0.00082784
6.6978,44.861,1.4963,0.00082512
6.7052,44.96,1.4964,0.00082241
6.7126,45.059,1.4964,0.00081971
6.72,45.158,1.4965,0.00081703
6.7274,45.257,1.4966,0.00081436
6.7347,45.356,1.4967,0.00081171
6.7421,45.455,1.4968,0.00080907
6.7494,45.555,1.4969,0.00080645
6.7567,45.654,1.4969,0.00080384
6.7641,45.753,1.497,0.00080125
6.7714,45.852,1.4971,0.00079867
6.7787,45.951,1.4972,0.0007961
6.786,46.05,1.4972,0.00079354
6.7933,46.149,1.4973,0.000791
6.8006,46.248,1.4974,0.00078848
6.8079,46.347,1.4975,0.00078596
6.8151,46.446,1.4976,0.00078346
6.8224,46.545,1.4976,0.00078098
6.8297,46.644,1.4977,0.00077851
6.8369,46.743,1.4978,0.00077604
6.8441,46.842,1.4979,0.0007736
6.8514,46.941,1.4979,0.00077116
6.8586,47.04,1.498,0.00076874
6.8658,47.14,1.4981,0.00076633
6.873,47.239,1.4982,0.00076394
6.8802,47.338,1.4983,0.00076155
6.8874,47.437,1.4983,0.00075918
6.8946,47.536,1.4984,0.00075682
6.9018,47.635,1.4985,0.00075447
6.909,47.734,1.4986,0.00075214
6.9161,47.833,1.4986,0.00074981
6.9233,47.932,1.4987,0.0007475
6.9304,48.031,1.4988,0.0007452
6.9376,48.13,1.4988,0.00074292
6.9447,48.229,1.4989,0.00074064
6.9519,48.328,1.499,0.00073838
6.959,48.427,1.4991,0.00073612
6.9661,48.526,1.4991,0.00073388
6.9732,48.625,1.4992,0.00073165
6.9803,48.724,1.4993,0.00072943
6.9874,48.824,1.4994,0.00072722
