x,y,theta,kappa
10.377,10.767,1.1218,0.016359
10.42,10.858,1.1234,0.016192
10.463,10.948,1.125,0.016031
10.506,11.038,1.1266,0.015871
10.549,11.129,1.1282,0.015713
10.592,11.219,1.1298,0.015557
10.635,11.311,1.1313,0.015403
10.677,11.401,1.1328,0.015254
10.72,11.491,1.1344,0.015107
10.762,11.581,1.1359,0.014961
10.804,11.672,1.1374,0.014817
10.846,11.764,1.1388,0.014675
10.888,11.855,1.1403,0.014535
10.93,11.946,1.1417,0.014399
10.971,12.036,1.1432,0.014264
11.013,12.128,1.1446,0.014131
11.054,12.219,1.146,0.014
11.095,12.311,1.1474,0.01387
11.136,12.401,1.1488,0.013744
11.177,12.492,1.1501,0.01362
11.217,12.583,1.1515,0.013497
11.258,12.674,1.1528,0.013375
11.298,12.765,1.1542,0.013255
11.339,12.857,1.1555,0.013136
11.38,12.95,1.1568,0.013018
11.42,13.041,1.1581,0.012904
11.459,13.132,1.1594,0.012792
11.499,13.223,1.1606,0.01268
11.539,13.315,1.1619,0.01257
11.579,13.407,1.1632,0.012461
11.619,13.5,1.1644,0.012353
11.659,13.592,1.1657,0.012247
11.698,13.684,1.1669,0.012143
11.737,13.775,1.1681,0.012041
11.776,13.867,1.1693,0.01194
11.815,13.959,1.1705,0.011839
11.854,14.052,1.1716,0.01174
11.893,14.144,1.1728,0.011642
11.932,14.237,1.174,0.011545
11.97,14.329,1.1751,0.011451
12.009,14.421,1.1763,0.011358
12.047,14.513,1.1774,0.011266
12.085,14.605,1.1785,0.011175
12.123,14.698,1.1796,0.011085
12.162,14.791,1.1807,0.010996
12.2,14.884,1.1818,0.010907
12.238,14.976,1.1829,0.010822
12.275,15.068,1.184,0.010737
12.313,15.16,1.185,0.010653
12.35,15.252,1.1861,0.01057
12.388,15.345,1.1872,0.010487
12.425,15.438,1.1882,0.010406
12.463,15.531,1.1893,0.010325
12.5,15.625,1.1903,0.010245
12.537,15.718,1.1913,0.010167
12.574,15.81,1.1923,0.01009
12.611,15.903,1.1933,0.010014
12.647,15.995,1.1943,0.0099391
12.684,16.088,1.1953,0.0098646
12.721,16.182,1.1963,0.0097908
12.757,16.275,1.1973,0.0097177
12.794,16.369,1.1982,0.0096453
12.83,16.462,1.1992,0.0095744
12.866,16.554,1.2001,0.0095049
12.902,16.647,1.2011,0.009436
12.938,16.74,1.202,0.0093678
12.974,16.833,1.203,0.0093001
13.01,16.926,1.2039,0.0092332
13.046,17.02,1.2048,0.0091668
13.082,17.114,1.2057,0.0091011
13.118,17.208,1.2066,0.0090359
13.154,17.301,1.2075,0.0089721
13.189,17.394,1.2084,0.0089095
13.224,17.487,1.2093,0.0088475
13.259,17.58,1.2102,0.008786
13.294,17.673,1.2111,0.0087251
13.329,17.767,1.2119,0.0086647
13.364,17.861,1.2128,0.0086049
13.4,17.955,1.2137,0.0085456
13.435,18.049,1.2145,0.0084868
13.47,18.144,1.2154,0.0084286
13.505,18.238,1.2162,0.0083714
13.539,18.331,1.217,0.0083155
13.573,18.424,1.2179,0.00826
13.608,18.517,1.2187,0.008205
13.642,18.611,1.2195,0.0081504
13.677,18.705,1.2203,0.0080963
13.711,18.799,1.2211,0.0080427
13.745,18.893,1.2219,0.0079895
13.78,18.988,1.2227,0.0079368
13.814,19.083,1.2235,0.0078846
13.848,19.177,1.2243,0.0078333
13.882,19.27,1.2251,0.0077831
13.915,19.363,1.2258,0.0077333
13.949,19.457,1.2266,0.0076839
13.982,19.551,1.2274,0.0076349
14.016,19.645,1.2281,0.0075863
14.05,19.739,1.2289,0.0075381
14.083,19.834,1.2296,0.0074903
14.117,19.928,1.2304,0.0074429
14.15,20.023,1.2311,0.0073959
14.184,20.119,1.2319,0.0073493
14.217,20.213,1.2326,0.0073035
14.25,20.306,1.2333,0.0072587
14.283,20.4,1.2341,0.0072142
14.316,20.494,1.2348,0.0071701
14.348,20.588,1.2355,0.0071263
14.381,20.682,1.2362,0.0070829
14.414,20.777,1.2369,0.0070398
14.447,20.871,1.2376,0.0069971
14.48,20.966,1.2383,0.0069547
14.513,21.061,1.239,0.0069126
14.545,21.157,1.2397,0.0068709
14.578,21.251,1.2404,0.0068299
14.61,21.346,1.2411,0.0067893
14.642,21.439,1.2417,0.0067495
14.674,21.533,1.2424,0.00671
14.706,21.627,1.2431,0.0066708
14.738,21.722,1.2437,0.0066318
14.77,21.816,1.2444,0.0065932
14.802,21.911,1.245,0.0065549
14.834,22.006,1.2457,0.0065168
14.866,22.101,1.2464,0.006479
14.898,22.196,1.247,0.0064416
14.93,22.292,1.2476,0.0064044
14.963,22.388,1.2483,0.0063674
14.994,22.482,1.2489,0.0063312
15.026,22.577,1.2496,0.0062953
15.057,22.671,1.2502,0.0062601
15.088,22.766,1.2508,0.0062251
15.12,22.86,1.2514,0.0061904
15.151,22.955,1.252,0.0061559
15.182,23.049,1.2526,0.0061217
15.213,23.144,1.2533,0.0060877
15.245,23.24,1.2539,0.0060539
15.276,23.335,1.2545,0.0060204
15.307,23.431,1.2551,0.0059872
15.338,23.526,1.2557,0.0059542
15.37,23.622,1.2563,0.0059214
15.4,23.717,1.2569,0.0058893
15.431,23.812,1.2575,0.0058573
15.462,23.908,1.258,0.0058257
15.493,24.002,1.2586,0.0057946
15.523,24.096,1.2592,0.0057637
15.554,24.191,1.2598,0.0057331
15.584,24.286,1.2603,0.0057027
15.614,24.381,1.2609,0.0056724
15.645,24.476,1.2615,0.0056424
15.675,24.572,1.262,0.0056126
15.706,24.667,1.2626,0.005583
15.736,24.763,1.2631,0.0055536
15.767,24.859,1.2637,0.0055244
15.797,24.955,1.2643,0.0054954
15.827,25.05,1.2648,0.005467
15.857,25.146,1.2654,0.0054387
15.888,25.241,1.2659,0.0054107
15.918,25.337,1.2664,0.0053828
15.947,25.432,1.267,0.0053555
15.977,25.526,1.2675,0.0053283
16.007,25.621,1.268,0.0053014
16.036,25.716,1.2686,0.0052746
16.066,25.812,1.2691,0.005248
16.096,25.907,1.2696,0.0052215
16.125,26.003,1.2701,0.0051953
16.155,26.099,1.2706,0.0051692
16.185,26.195,1.2712,0.0051433
16.214,26.291,1.2717,0.0051175
16.244,26.387,1.2722,0.0050919
16.274,26.484,1.2727,0.0050665
16.303,26.579,1.2732,0.0050416
16.332,26.675,1.2737,0.0050168
16.362,26.771,1.2742,0.0049922
16.391,26.867,1.2747,0.0049678
16.42,26.961,1.2752,0.0049438
16.449,27.056,1.2757,0.00492
16.478,27.152,1.2762,0.0048963
16.507,27.247,1.2767,0.0048728
16.536,27.342,1.2772,0.0048494
16.564,27.438,1.2776,0.0048262
16.593,27.534,1.2781,0.0048031
16.622,27.63,1.2786,0.0047802
16.651,27.726,1.2791,0.0047574
16.68,27.823,1.2796,0.0047347
16.709,27.919,1.28,0.0047122
16.738,28.016,1.2805,0.0046898
16.766,28.111,1.281,0.0046679
16.795,28.207,1.2814,0.0046461
16.823,28.303,1.2819,0.0046244
16.852,28.399,1.2824,0.0046029
16.88,28.495,1.2828,0.0045814
16.909,28.59,1.2833,0.0045605
16.937,28.685,1.2837,0.0045396
16.965,28.781,1.2842,0.0045188
16.993,28.876,1.2846,0.0044982
17.021,28.972,1.2851,0.0044777
17.049,29.068,1.2855,0.0044574
17.077,29.164,1.286,0.0044371
17.105,29.26,1.2864,0.004417
17.134,29.356,1.2869,0.004397
17.162,29.452,1.2873,0.0043771
17.19,29.549,1.2877,0.0043573
17.218,29.646,1.2882,0.0043376
17.246,29.743,1.2886,0.0043181
17.274,29.839,1.289,0.0042989
17.302,29.934,1.2895,0.0042799
17.329,30.03,1.2899,0.0042609
17.357,30.127,1.2903,0.0042421
17.385,30.223,1.2907,0.0042234
17.413,30.32,1.2912,0.0042048
17.44,30.415,1.2916,0.0041865
17.467,30.51,1.292,0.0041684
17.495,30.606,1.2924,0.0041503
17.522,30.702,1.2928,0.0041324
17.549,30.798,1.2932,0.0041146
17.577,30.894,1.2936,0.0040968
17.604,30.99,1.2941,0.0040792
17.631,31.086,1.2945,0.0040616
17.659,31.183,1.2949,0.0040442
17.686,31.279,1.2953,0.0040268
17.713,31.376,1.2957,0.0040096
17.741,31.473,1.2961,0.0039925
17.768,31.57,1.2965,0.0039754
17.795,31.666,1.2969,0.0039587
17.822,31.762,1.2973,0.0039421
17.849,31.858,1.2977,0.0039255
17.876,31.954,1.2981,0.0039091
17.903,32.051,1.2984,0.0038927
17.93,32.147,1.2988,0.0038765
17.957,32.244,1.2992,0.0038603
17.983,32.34,1.2996,0.0038444
18.01,32.435,1.3,0.0038287
18.036,32.531,1.3004,0.003813
18.063,32.627,1.3007,0.0037974
18.089,32.723,1.3011,0.0037818
18.116,32.819,1.3015,0.0037664
18.143,32.915,1.3019,0.0037511
18.169,33.012,1.3023,0.0037358
18.196,33.108,1.3026,0.0037206
18.222,33.205,1.303,0.0037055
18.249,33.302,1.3034,0.0036905
18.275,33.399,1.3037,0.0036755
18.302,33.496,1.3041,0.0036606
18.329,33.593,1.3045,0.0036458
18.355,33.691,1.3048,0.0036311
18.381,33.787,1.3052,0.0036167
18.407,33.883,1.3056,0.0036024
18.434,33.98,1.3059,0.0035881
18.46,34.076,1.3063,0.0035739
